Fecha,Dia,NMV_V2,NSI_V2,NMV_4+8,NSI_4+8,Purchases_4+8
2026-05-25,lunes,14321744.0,3571.0,10152940.0,2532.0,169.0
2026-05-26,martes,16938326.0,4223.0,12007881.0,2994.0,200.0
2026-05-27,miércoles,15986519.0,3986.0,11333128.0,2826.0,188.0
2026-05-28,jueves,12424227.0,3098.0,8807756.0,2196.0,146.0
2026-05-29,viernes,16643500.0,4150.0,11798873.0,2942.0,196.0
2026-05-30,sábado,12292830.0,3065.0,8714607.0,2173.0,145.0
2026-05-31,domingo,9883903.0,2464.0,7006875.0,1747.0,116.0
2026-06-01,lunes,17799643.0,4368.0,13482618.0,3307.0,220.0
2026-06-02,martes,17725478.0,4350.0,13426440.0,3294.0,220.0
2026-06-03,miércoles,16729440.0,4106.0,12671976.0,3108.0,207.0
2026-06-04,jueves,13001601.0,3191.0,9848266.0,2416.0,161.0
2026-06-05,viernes,17416951.0,4274.0,13192742.0,3236.0,216.0
2026-06-06,sábado,12864099.0,3157.0,9744113.0,2390.0,159.0
2026-06-07,domingo,10343225.0,2538.0,7834637.0,1922.0,128.0
2026-06-08,lunes,18333633.0,4499.0,13887097.0,3407.0,227.0
2026-06-09,martes,18257243.0,4481.0,13829234.0,3392.0,226.0
2026-06-10,miércoles,17231323.0,4229.0,13052135.0,3202.0,213.0
2026-06-11,jueves,13391649.0,3287.0,10143714.0,2488.0,166.0
2026-06-12,viernes,17939460.0,4403.0,13588524.0,3333.0,222.0
2026-06-13,sábado,13250022.0,3252.0,10036436.0,2462.0,164.0
2026-06-14,domingo,10653521.0,2615.0,8069676.0,1980.0,132.0
2026-06-15,lunes,18922848.0,4634.0,14333407.0,3516.0,234.0
2026-06-16,martes,15866651.0,3886.0,12018442.0,2948.0,197.0
2026-06-17,miércoles,14975064.0,3668.0,11343096.0,2783.0,186.0
2026-06-18,jueves,13822037.0,3385.0,10469718.0,2568.0,171.0
2026-06-19,viernes,18516007.0,4535.0,14025239.0,3440.0,229.0
2026-06-20,sábado,11515072.0,2820.0,8722271.0,2140.0,143.0
2026-06-21,domingo,10995909.0,2693.0,8329023.0,2043.0,136.0
2026-06-22,lunes,19450151.0,4773.0,14732821.0,3614.0,241.0
2026-06-23,martes,19369109.0,4753.0,14671434.0,3599.0,240.0
2026-06-24,miércoles,18280711.0,4486.0,13847010.0,3397.0,226.0
2026-06-25,jueves,14207201.0,3487.0,10761466.0,2640.0,176.0
2026-06-26,viernes,19031973.0,4671.0,14416065.0,3536.0,236.0
2026-06-27,sábado,14056948.0,3450.0,10647655.0,2612.0,174.0
2026-06-28,domingo,11302321.0,2774.0,8561119.0,2100.0,140.0
2026-06-29,lunes,20033656.0,4917.0,15174805.0,3722.0,248.0
2026-06-30,martes,19950182.0,4896.0,15111577.0,3707.0,247.0
2026-07-01,miércoles,20987820.0,5070.0,15953720.0,3854.0,257.0
2026-07-02,jueves,16311082.0,3940.0,12398736.0,2995.0,200.0
2026-07-03,viernes,21850333.0,5278.0,16609352.0,4012.0,267.0
2026-07-04,sábado,16138579.0,3898.0,12267609.0,2963.0,198.0
2026-07-05,domingo,12976031.0,3134.0,9863624.0,2383.0,159.0
2026-07-06,lunes,23000351.0,5556.0,17483528.0,4223.0,282.0
2026-07-07,martes,22904516.0,5533.0,17410680.0,4206.0,280.0
2026-07-08,miércoles,18201897.0,4397.0,13836023.0,3342.0,223.0
2026-07-09,jueves,14145949.0,3417.0,10752927.0,2597.0,173.0
2026-07-10,viernes,18949920.0,4577.0,14404627.0,3479.0,232.0
2026-07-11,sábado,16622737.0,4015.0,12635637.0,3052.0,203.0
2026-07-12,domingo,13365312.0,3228.0,10159533.0,2454.0,164.0
2026-07-13,lunes,23690361.0,5722.0,18008034.0,4350.0,290.0
2026-07-14,martes,23591651.0,5699.0,17933001.0,4332.0,289.0
2026-07-15,miércoles,22265978.0,5378.0,16925301.0,4088.0,273.0
2026-07-16,jueves,17304427.0,4180.0,13153818.0,3177.0,212.0
2026-07-17,viernes,23181019.0,5599.0,17620861.0,4256.0,284.0
2026-07-18,sábado,17121419.0,4136.0,13014706.0,3144.0,210.0
2026-07-19,domingo,13766272.0,3325.0,10464319.0,2528.0,169.0
2026-07-20,lunes,24401072.0,5894.0,18548275.0,4480.0,299.0
2026-07-21,martes,24299401.0,5870.0,18470991.0,4462.0,297.0
2026-07-22,miércoles,22933958.0,5540.0,17433060.0,4211.0,281.0
2026-07-23,jueves,17823560.0,4305.0,13548433.0,3273.0,218.0
2026-07-24,viernes,23876449.0,5767.0,18149487.0,4384.0,292.0
2026-07-25,sábado,17635062.0,4260.0,13405148.0,3238.0,216.0
2026-07-26,domingo,14179260.0,3425.0,10778248.0,2603.0,174.0
2026-07-27,lunes,25133104.0,6071.0,19104723.0,4615.0,308.0
2026-07-28,martes,25028383.0,6046.0,19025120.0,4596.0,306.0
2026-07-29,miércoles,23621976.0,5706.0,17956052.0,4337.0,289.0
2026-07-30,jueves,18358267.0,4434.0,13954886.0,3371.0,225.0
2026-07-31,viernes,24592743.0,5940.0,18693972.0,4516.0,301.0
2026-08-01,sábado,18382193.0,4388.0,13199000.0,3150.0,210.0
2026-08-02,domingo,14779982.0,3528.0,10612498.0,2533.0,169.0
2026-08-03,lunes,26197900.0,6253.0,18810926.0,4490.0,299.0
2026-08-04,martes,26088742.0,6227.0,18732547.0,4471.0,298.0
2026-08-05,miércoles,24622751.0,5877.0,17679919.0,4220.0,281.0
2026-08-06,jueves,19136038.0,4567.0,13740284.0,3280.0,219.0
2026-08-07,viernes,25634645.0,6119.0,18406491.0,4393.0,293.0
2026-08-08,sábado,18933659.0,4519.0,13594970.0,3245.0,216.0
2026-08-09,domingo,15223381.0,3634.0,10930872.0,2609.0,174.0
2026-08-10,lunes,26983837.0,6441.0,19375254.0,4625.0,308.0
2026-08-11,martes,26871404.0,6414.0,19294524.0,4605.0,307.0
2026-08-12,miércoles,25361434.0,6053.0,18210317.0,4347.0,290.0
2026-08-13,jueves,19710119.0,4704.0,14152493.0,3378.0,225.0
2026-08-14,viernes,26403684.0,6302.0,18958686.0,4525.0,302.0
2026-08-15,sábado,19501669.0,4655.0,14002819.0,3342.0,223.0
2026-08-16,domingo,15680083.0,3743.0,11258799.0,2687.0,179.0
2026-08-17,lunes,23402002.0,5586.0,16803383.0,4011.0,267.0
2026-08-18,martes,27677546.0,6606.0,19873360.0,4743.0,316.0
2026-08-19,miércoles,26122277.0,6235.0,18756626.0,4477.0,298.0
2026-08-20,jueves,20301422.0,4846.0,14577068.0,3479.0,232.0
2026-08-21,viernes,27195795.0,6491.0,19527447.0,4661.0,311.0
2026-08-22,sábado,20086719.0,4794.0,14422904.0,3443.0,230.0
2026-08-23,domingo,16150485.0,3855.0,11596563.0,2768.0,185.0
2026-08-24,lunes,28627153.0,6833.0,20555207.0,4906.0,327.0
2026-08-25,martes,28507873.0,6804.0,20469560.0,4886.0,326.0
2026-08-26,miércoles,26905945.0,6422.0,19319325.0,4611.0,307.0
2026-08-27,jueves,20910465.0,4991.0,15014380.0,3584.0,239.0
2026-08-28,viernes,28011669.0,6686.0,20113270.0,4801.0,320.0
2026-08-29,sábado,20689320.0,4938.0,14855591.0,3546.0,236.0
2026-08-30,domingo,16635000.0,3971.0,11944460.0,2851.0,190.0
2026-08-31,lunes,29485967.0,7038.0,21171863.0,5053.0,337.0
