Mes,NMV_V2,NMV_4+8
2026-01-01,175439531.0,175799372.0
2026-02-01,196000000.0,196000000.0
2026-03-01,332708333.0,332708333.0
2026-04-01,349784967.0,244000000.0
2026-05-01,458410548.0,324975405.0
2026-06-01,475233128.0,359972757.0
2026-07-01,618258889.0,469964432.0
2026-08-01,710221161.0,509961405.0
2026-09-01,609712863.0,609953838.0
2026-10-01,772089722.0,879933405.0
2026-11-01,1273391997.0,1599878918.0
2026-12-01,1848246429.0,2116349703.0
