Mes,Perfect_Purchases,Total_Purchases,Perfect_Purchase_Rate,Total_Claims,Repentance_Claims,Incomplete_Claims,Different_Claims,Defective_Claims,Claims_Rate,On_Time,Cancel_Rate
2025-10-01,127.0,214.0,0.5935,16,0,3,5,0,0.0748,0.9645,0.0789
2025-11-01,687.0,1024.0,0.6709,84,1,47,6,7,0.082,0.9287,0.0519
2025-12-01,1623.0,3144.0,0.5162,214,10,30,25,9,0.0681,0.7897,0.0878
2026-01-01,1833.0,3213.0,0.5705,167,17,40,10,5,0.052,0.8923,0.051
2026-02-01,2309.0,4429.0,0.5213,252,5,58,18,27,0.0569,0.8082,0.0523
2026-03-01,2778.0,5534.0,0.502,394,8,118,31,35,0.0712,0.8558,0.0668
2026-04-01,3028.0,4558.0,0.6643,234,9,72,10,23,0.0513,0.9529,0.0473
2026-05-01,4063.0,6292.0,0.6457,452,18,95,27,40,0.0718,0.9296,0.0633
2026-06-01,3625.0,5123.0,0.7076,218,5,60,5,17,0.0426,0.9529,0.0426
