Semana,Tienda,FR_Items,FR_Items_Reemplazo,FR_Compras,Compra_Perfecta,On_Time,Cancel_Rate
2026-02-15,Vicente Lopez,0.9373,0.941,0.7213,0.7213,0.8684,0.0428
2026-02-15,Villa Urquiza,0.9099,0.9282,0.6358,0.6358,0.9581,0.05
2026-02-22,Caballito,0.8725,0.893,0.4835,0.4835,0.7075,0.0531
2026-02-22,Scalabrini,0.9017,0.9116,0.6077,0.6077,0.604,0.055
2026-02-22,Vicente Lopez,0.9531,0.956,0.7711,0.7711,0.8152,0.029
2026-02-22,Villa Urquiza,0.8922,0.9021,0.6098,0.6098,0.7961,0.0466
2026-03-01,Caballito,0.8905,0.9059,0.5392,0.5392,0.8514,0.0466
2026-03-01,Scalabrini,0.9044,0.914,0.6292,0.6292,0.7201,0.0662
2026-03-01,Vicente Lopez,0.9399,0.9415,0.7485,0.7485,0.8182,0.0407
2026-03-01,Villa Urquiza,0.9043,0.9123,0.6157,0.6157,0.8852,0.0413
2026-03-08,Caballito,0.8443,0.8595,0.5399,0.5399,0.7903,0.1229
2026-03-08,Scalabrini,0.9039,0.913,0.6229,0.6229,0.8772,0.0521
2026-03-08,Vicente Lopez,0.9394,0.9411,0.7312,0.7312,0.7855,0.0731
2026-03-08,Villa Urquiza,0.8905,0.9035,0.601,0.601,0.8737,0.0534
2026-03-15,Caballito,0.8404,0.8607,0.4729,0.4729,0.8245,0.1039
2026-03-15,Scalabrini,0.8869,0.8984,0.5941,0.5941,0.8152,0.0486
2026-03-15,Vicente Lopez,0.9193,0.925,0.706,0.706,0.7614,0.0588
2026-03-15,Villa Urquiza,0.8486,0.866,0.4769,0.4769,0.9461,0.0947
2026-03-22,Caballito,0.8445,0.8619,0.4448,0.4448,0.8907,0.1263
2026-03-22,Scalabrini,0.8906,0.9002,0.5731,0.5731,0.9292,0.029
2026-03-22,Vicente Lopez,0.893,0.8987,0.6716,0.6716,0.9085,0.0519
2026-03-22,Villa Urquiza,0.8522,0.8845,0.4561,0.4561,0.9674,0.0785
2026-03-29,Caballito,0.8744,0.886,0.4986,0.4986,0.9235,0.0929
2026-03-29,Scalabrini,0.8891,0.9031,0.5659,0.5659,0.916,0.0301
2026-03-29,Vicente Lopez,0.9109,0.9135,0.6503,0.6503,0.9288,0.0875
2026-03-29,Villa Urquiza,0.8785,0.9072,0.4524,0.4524,0.9362,0.0739
2026-04-05,Caballito,0.9109,0.926,0.6364,0.6364,0.9651,0.0615
2026-04-05,Scalabrini,0.9015,0.9079,0.5927,0.5927,0.9464,0.0671
2026-04-05,Vicente Lopez,0.9252,0.9291,0.6755,0.6755,0.8676,0.0525
2026-04-05,Villa Urquiza,0.9183,0.9278,0.6324,0.6324,0.9266,0.0899
2026-04-12,Caballito,0.9469,0.9574,0.7206,0.7206,0.9424,0.0231
2026-04-12,Scalabrini,0.9612,0.9641,0.7972,0.7972,0.9682,0.0302
2026-04-12,Vicente Lopez,0.9579,0.9627,0.815,0.815,0.9762,0.0307
2026-04-12,Villa Urquiza,0.9313,0.9401,0.6044,0.6044,0.9716,0.0585
2026-04-19,Caballito,0.9722,0.9766,0.8233,0.8233,0.9651,0.0323
2026-04-19,Scalabrini,0.9604,0.9641,0.7823,0.7823,0.9932,0.0099
2026-04-19,Vicente Lopez,0.9786,0.9804,0.864,0.864,0.9927,0.014
2026-04-19,Villa Urquiza,0.9142,0.9243,0.612,0.612,0.9883,0.0781
2026-04-26,Caballito,0.9344,0.9376,0.6835,0.6835,0.8075,0.0686
2026-04-26,Scalabrini,0.9562,0.965,0.7582,0.7582,0.8545,0.0255
2026-04-26,Vicente Lopez,0.9611,0.9632,0.8191,0.8191,0.9895,0.0392
2026-04-26,Villa Urquiza,0.8999,0.9148,0.6009,0.6009,0.9858,0.0553
2026-05-03,Caballito,0.9011,0.9136,0.6459,0.6459,0.8986,0.0692
2026-05-03,Scalabrini,0.9403,0.9474,0.7835,0.7835,0.8926,0.0365
2026-05-03,Vicente Lopez,0.9622,0.9645,0.7751,0.7751,0.9855,0.0361
2026-05-03,Villa Urquiza,0.8858,0.9004,0.529,0.529,0.9423,0.0704
2026-05-10,Caballito,0.8959,0.9069,0.5483,0.5483,0.9164,0.1305
2026-05-10,Scalabrini,0.947,0.9497,0.7815,0.7815,0.9291,0.0524
2026-05-10,Vicente Lopez,0.9289,0.9352,0.7427,0.7427,0.9716,0.0703
2026-05-10,Villa Urquiza,0.8882,0.9009,0.5487,0.5487,0.9443,0.078
2026-05-17,Caballito,0.8984,0.9073,0.5875,0.5875,0.8278,0.1075
2026-05-17,Scalabrini,0.9593,0.965,0.8215,0.8215,0.9678,0.0338
2026-05-17,Vicente Lopez,0.9639,0.9685,0.827,0.827,0.9712,0.0429
2026-05-17,Villa Urquiza,0.9268,0.9371,0.6073,0.6073,0.8445,0.0637
2026-05-24,Caballito,0.9188,0.9245,0.5964,0.5964,0.9468,0.0851
2026-05-24,Scalabrini,0.9729,0.9759,0.8254,0.8254,0.9745,0.0251
2026-05-24,Vicente Lopez,0.9529,0.9604,0.7774,0.7774,0.9873,0.0423
2026-05-24,Villa Urquiza,0.8975,0.9128,0.5171,0.5171,0.9689,0.081
2026-05-31,Caballito,0.9314,0.9442,0.6384,0.6384,0.906,0.0491
2026-05-31,Scalabrini,0.9633,0.9693,0.7961,0.7961,0.9719,0.0231
2026-05-31,Vicente Lopez,0.9642,0.9674,0.8244,0.8244,0.9641,0.0203
2026-05-31,Villa Urquiza,0.9057,0.9167,0.5339,0.5339,0.9259,0.0427
2026-06-07,Caballito,0.9129,0.9201,0.6633,0.6633,0.8838,0.0543
2026-06-07,Scalabrini,0.9754,0.9769,0.8412,0.8412,0.9318,0.0286
2026-06-07,Vicente Lopez,0.9578,0.9592,0.8131,0.8131,0.9865,0.0519
2026-06-07,Villa Urquiza,0.8822,0.891,0.5865,0.5865,0.9949,0.0927
2026-06-14,Caballito,0.9453,0.9535,0.7303,0.7303,0.9427,0.0448
2026-06-14,Scalabrini,0.9708,0.9751,0.8394,0.8394,0.9548,0.0245
2026-06-14,Vicente Lopez,0.9652,0.9705,0.816,0.816,0.9419,0.0534
2026-06-14,Villa Urquiza,0.9398,0.9493,0.7112,0.7112,0.969,0.049
2026-06-21,Caballito,0.9433,0.9543,0.6929,0.6929,0.9565,0.0631
2026-06-21,Scalabrini,0.9458,0.953,0.7507,0.7507,0.9804,0.0272
2026-06-21,Vicente Lopez,0.9685,0.9723,0.8496,0.8496,0.9707,0.0387
2026-06-21,Villa Urquiza,0.9306,0.9429,0.6585,0.6585,0.9372,0.0467
2026-06-28,Caballito,0.933,0.9452,0.6586,0.6586,0.8318,0.0734
2026-06-28,Scalabrini,0.9551,0.9603,0.7537,0.7537,0.9057,0.033
2026-06-28,Vicente Lopez,0.9539,0.958,0.8357,0.8357,0.933,0.0404
2026-06-28,Villa Urquiza,0.9195,0.929,0.5784,0.5784,0.8391,0.0417
2026-07-05,Caballito,0.943,0.9514,0.6775,0.6775,0.9203,0.0592
2026-07-05,Scalabrini,0.9562,0.9616,0.7682,0.7682,0.9791,0.0446
2026-07-05,Vicente Lopez,0.9493,0.9538,0.8174,0.8174,0.9629,0.0429
2026-07-05,Villa Urquiza,0.8961,0.9071,0.5785,0.5785,0.8904,0.1008
2026-07-12,Caballito,0.9342,0.9443,0.6809,0.6809,0.8721,0.0561
2026-07-12,Scalabrini,0.9631,0.9681,0.7918,0.7918,0.8739,0.0313
2026-07-12,Vicente Lopez,0.9662,0.9681,0.8207,0.8207,0.993,0.0615
2026-07-12,Villa Urquiza,0.907,0.9153,0.6577,0.6577,0.8638,0.0541
2026-07-19,Caballito,0.8095,0.8124,0.55,0.55,0.981,0.1679
2026-07-19,Scalabrini,0.8596,0.8657,0.6767,0.6767,0.9298,0.1176
2026-07-19,Vicente Lopez,0.9399,0.9455,0.7105,0.7105,0.9906,0.0692
2026-07-19,Villa Urquiza,0.8867,0.8874,0.6081,0.6081,0.9851,0.1429
