,,,,886.551.363,217.974,712.407.345,175.157,585.757.150,144.018,759.901.168,186.835,2.944.617.026,723.984,,,,,,,,,,,,,,,,,,,,,,637.289.168,156.657,10.443,642.104.085,157.848,10.526,417.226.276,102.530,6.838,519.000.534,127.528,8.501,2.215.620.052,544.554,36.305
Dia,Mes,Fecha,Semana,Scala NMV,Scala NSI,Vilo NMV,Vilo NSI,VUrq NMV,VUrq NSI,Caballito NMV,Caballito NSI,Total NMV,Total NSI,,,Mes,,,,,,,,Mes,Fecha,Scala NMV,Vilo NMV,VUrq NMV,Caballito NMV,,Dia,Mes,Fecha,Semana,Scala NMV,Scala NSI,Scala Purchases,Vilo NMV,Vilo NSI,Vilo Purchases,VUrq NMV,VUrq NSI,VUrq Purchases,Caballito NMV,Caballito NSI,Caballito Purchases,Total NMV,Total NSI,Total Purchases
viernes,5,1-may,18,3.748.719,935,3.012.364,751,2.476.832,618,3.213.188,801,12.451.104,3.105,,,,,,,,,,,5,1-may,3%,3%,3%,3%,,viernes,5,1-may,18,2.527.346,630,42,2.545.823,635,42,1.668.213,416,28,2.085.426,520,35,8.826.809,2.201,147
sábado,5,2-may,18,3.288.350,820,2.642.424,659,2.172.660,542,2.818.586,703,10.922.021,2.723,,,,,,,,,,,5,2-may,2%,2%,2%,2%,,sábado,5,2-may,18,2.216.970,553,37,2.233.178,557,37,1.463.345,365,24,1.829.321,456,30,7.742.815,1.931,129
domingo,5,3-may,19,2.643.959,659,2.124.610,530,1.746.901,436,2.266.250,565,8.781.720,2.190,,,,,,,,,,,5,3-may,2%,2%,2%,2%,,domingo,5,3-may,19,1.782.528,444,30,1.795.560,448,30,1.176.585,293,20,1.470.844,367,24,6.225.518,1.552,103
lunes,5,4-may,19,4.686.485,1.169,3.765.925,939,3.096.428,772,4.016.987,1.002,15.565.825,3.881,,,,,,,,,,,5,4-may,3%,3%,3%,3%,,lunes,5,4-may,19,3.159.578,788,53,3.182.677,794,53,2.085.528,520,35,2.607.109,650,43,11.034.891,2.751,183
martes,5,5-may,19,4.666.958,1.164,3.750.234,935,3.083.526,769,4.000.250,997,15.500.968,3.865,,,,,,,,,,,5,5-may,3%,3%,3%,3%,,martes,5,5-may,19,3.146.413,785,52,3.169.416,790,53,2.076.838,518,35,2.596.246,647,43,10.988.912,2.740,183
miércoles,5,6-may,19,4.404.710,1.098,3.539.499,883,2.910.255,726,3.775.466,941,14.629.930,3.648,,,,,,,,,,,5,6-may,3%,3%,3%,3%,,miércoles,5,6-may,19,2.969.608,740,49,2.991.318,746,50,1.960.135,489,33,2.450.356,611,41,10.371.418,2.586,172
jueves,5,7-may,19,3.423.204,854,2.750.789,686,2.261.760,564,2.934.175,732,11.369.927,2.835,,,,,,,,,,,5,7-may,2%,2%,2%,2%,,jueves,5,7-may,19,2.307.887,575,38,2.324.760,580,39,1.523.356,380,25,1.904.341,475,32,8.060.344,2.010,134
viernes,5,8-may,19,4.585.726,1.143,3.684.958,919,3.029.854,755,3.930.622,980,15.231.160,3.798,,,,,,,,,,,5,8-may,3%,3%,3%,3%,,viernes,5,8-may,19,3.091.647,771,51,3.114.249,777,52,2.040.689,509,34,2.551.056,636,42,10.797.641,2.692,179
sábado,5,9-may,19,3.387.001,845,2.721.697,679,2.237.840,558,2.903.144,724,11.249.681,2.805,,,,,,,,,,,5,9-may,2%,2%,2%,2%,,sábado,5,9-may,19,2.283.480,569,38,2.300.174,574,38,1.507.245,376,25,1.884.201,470,31,7.975.099,1.989,133
domingo,5,10-may,20,2.723.277,679,2.188.348,546,1.799.308,449,2.334.238,582,9.045.171,2.255,,,,,,,,,,,5,10-may,2%,2%,2%,2%,,domingo,5,10-may,20,1.836.004,458,31,1.849.427,461,31,1.211.883,302,20,1.514.969,378,25,6.412.283,1.599,107
lunes,5,11-may,20,7.170.322,1.788,5.761.866,1.437,4.737.534,1.181,6.145.990,1.532,23.815.712,5.938,,,,,,,,,,,5,11-may,5%,5%,5%,5%,,lunes,5,11-may,20,4.834.154,1.205,80,4.869.496,1.214,81,3.190.857,796,53,3.988.876,995,66,16.883.383,4.210,281
martes,5,12-may,20,7.140.446,1.780,5.737.858,1.431,4.717.794,1.176,6.120.382,1.526,23.716.480,5.913,,,,,,,,,,,5,12-may,5%,5%,5%,5%,,martes,5,12-may,20,4.814.012,1.200,80,4.849.206,1.209,81,3.177.562,792,53,3.972.256,990,66,16.813.035,4.192,279
miércoles,5,13-may,20,6.739.206,1.680,5.415.434,1.350,4.452.690,1.110,5.776.463,1.440,22.383.793,5.581,,,,,,,,,,,5,13-may,5%,5%,5%,5%,,miércoles,5,13-may,20,4.543.500,1.133,76,4.576.717,1.141,76,2.999.007,748,50,3.749.045,935,62,15.868.270,3.957,264
jueves,5,14-may,20,4.895.182,1.221,3.933.628,981,3.234.316,806,4.195.870,1.046,16.258.996,4.054,,,,,,,,,,,5,14-may,4%,4%,4%,4%,,jueves,5,14-may,20,3.300.279,823,55,3.324.406,829,55,2.178.399,543,36,2.723.207,679,45,11.526.292,2.874,192
viernes,5,15-may,20,6.328.301,1.578,5.085.242,1.268,4.181.199,1.043,5.424.258,1.352,21.019.001,5.241,,,,,,,,,,,5,15-may,5%,5%,5%,5%,,viernes,5,15-may,20,4.266.473,1.064,71,4.297.664,1.072,71,2.816.150,702,47,3.520.457,878,59,14.900.744,3.715,248
sábado,5,16-may,20,4.504.711,1.123,3.619.857,903,2.976.327,742,3.861.181,963,14.962.076,3.731,,,,,,,,,,,5,16-may,3%,3%,3%,3%,,sábado,5,16-may,20,3.037.028,757,50,3.059.231,763,51,2.004.637,500,33,2.505.987,625,42,10.606.882,2.645,176
domingo,5,17-may,21,3.485.795,869,2.801.085,698,2.303.115,574,2.987.824,745,11.577.819,2.887,,,,,,,,,,,5,17-may,3%,3%,3%,3%,,domingo,5,17-may,21,2.350.086,586,39,2.367.267,590,39,1.551.210,387,26,1.939.160,484,32,8.207.722,2.047,136
lunes,5,18-may,21,5.937.308,1.480,4.771.051,1.190,3.922.864,978,5.089.121,1.269,19.720.344,4.917,,,,,,,,,,,5,18-may,4%,4%,4%,4%,,lunes,5,18-may,21,4.002.869,998,67,4.032.133,1.005,67,2.642.155,659,44,3.302.946,824,55,13.980.103,3.486,232
martes,5,19-may,21,4.951.176,1.235,3.978.623,992,3.271.313,816,4.243.865,1.058,16.444.976,4.100,,,,,,,,,,,5,19-may,4%,4%,4%,4%,,martes,5,19-may,21,3.338.029,832,55,3.362.433,838,56,2.203.317,549,37,2.754.357,687,46,11.658.137,2.907,194
miércoles,5,20-may,21,4.672.957,1.165,3.755.055,936,3.087.489,770,4.005.392,999,15.520.893,3.870,,,,,,,,,,,5,20-may,3%,3%,3%,3%,,miércoles,5,20-may,21,3.150.457,786,52,3.173.490,791,53,2.079.507,519,35,2.599.583,648,43,11.003.037,2.744,183
jueves,5,21-may,21,3.631.677,906,2.918.312,728,2.399.501,598,3.112.866,776,12.062.356,3.008,,,,,,,,,,,5,21-may,3%,3%,3%,3%,,jueves,5,21-may,21,2.448.438,610,41,2.466.338,615,41,1.616.129,403,27,2.020.315,504,34,8.551.219,2.132,142
viernes,5,22-may,21,4.864.996,1.213,3.909.372,975,3.214.373,801,4.169.997,1.040,16.158.738,4.029,,,,,,,,,,,5,22-may,4%,4%,4%,4%,,viernes,5,22-may,21,3.279.928,818,55,3.303.907,824,55,2.164.967,540,36,2.706.415,675,45,11.455.217,2.856,190
sábado,5,23-may,21,3.593.269,896,2.887.448,720,2.374.124,592,3.079.945,768,11.934.787,2.976,,,,,,,,,,,5,23-may,3%,3%,3%,3%,,sábado,5,23-may,21,2.422.543,604,40,2.440.254,608,41,1.599.037,399,27,1.998.949,498,33,8.460.783,2.110,141
domingo,5,24-may,22,2.889.125,720,2.321.618,579,1.908.886,476,2.476.393,617,9.596.022,2.393,,,,,,,,,,,5,24-may,2%,2%,2%,2%,,domingo,5,24-may,22,1.947.817,486,32,1.962.057,489,33,1.285.686,321,21,1.607.231,401,27,6.802.791,1.696,113
lunes,5,25-may,22,4.311.923,1.075,3.464.938,864,2.848.949,710,3.695.934,922,14.321.744,3.571,,,,,,,,,,,5,25-may,3%,3%,3%,3%,,lunes,5,25-may,22,2.907.052,725,48,2.928.305,730,49,1.918.844,478,32,2.398.738,598,40,10.152.940,2.532,169
martes,5,26-may,22,5.099.711,1.272,4.097.982,1.022,3.369.452,840,4.371.181,1.090,16.938.326,4.223,,,,,,,,,,,5,26-may,4%,4%,4%,4%,,martes,5,26-may,22,3.438.170,857,57,3.463.306,864,58,2.269.417,566,38,2.836.988,707,47,12.007.881,2.994,200
miércoles,5,27-may,22,4.813.146,1.200,3.867.706,964,3.180.114,793,4.125.553,1.029,15.986.519,3.986,,,,,,,,,,,5,27-may,3%,3%,3%,3%,,miércoles,5,27-may,22,3.244.971,809,54,3.268.694,815,54,2.141.893,534,36,2.677.570,668,45,11.333.128,2.826,188
jueves,5,28-may,22,3.740.627,933,3.005.861,749,2.471.486,616,3.206.252,799,12.424.227,3.098,,,,,,,,,,,5,28-may,3%,3%,3%,3%,,jueves,5,28-may,22,2.521.891,629,42,2.540.328,633,42,1.664.612,415,28,2.080.925,519,35,8.807.756,2.196,146
viernes,5,29-may,22,5.010.946,1.249,4.026.653,1.004,3.310.804,826,4.295.097,1.071,16.643.500,4.150,,,,,,,,,,,5,29-may,4%,4%,4%,4%,,viernes,5,29-may,22,3.378.326,842,56,3.403.024,849,57,2.229.916,556,37,2.787.608,695,46,11.798.873,2.942,196
sábado,5,30-may,22,3.701.067,923,2.974.072,742,2.445.348,610,3.172.343,791,12.292.830,3.065,,,,,,,,,,,5,30-may,3%,3%,3%,3%,,sábado,5,30-may,22,2.495.220,622,41,2.513.462,627,42,1.647.008,411,27,2.058.917,513,34,8.714.607,2.173,145
domingo,5,31-may,23,2.975.799,742,2.391.267,596,1.966.153,490,2.550.685,636,9.883.903,2.464,,,,,,,,,,,5,31-may,2%,2%,2%,2%,,domingo,5,31-may,23,2.006.251,500,33,2.020.919,504,34,1.324.257,330,22,1.655.448,413,28,7.006.875,1.747,116
lunes,6,1-jun,23,5.359.032,1.315,4.306.365,1.057,3.540.789,869,4.593.456,1.127,17.799.643,4.368,,,,,,,,,,,6,1-jun,4%,4%,4%,4%,,lunes,6,1-jun,23,3.860.426,947,63,3.888.649,954,64,2.548.133,625,42,3.185.410,781,52,13.482.618,3.307,220
martes,6,2-jun,23,5.336.703,1.310,4.288.422,1.052,3.526.036,865,4.574.317,1.123,17.725.478,4.350,,,,,,,,,,,6,2-jun,4%,4%,4%,4%,,martes,6,2-jun,23,3.844.341,943,63,3.872.446,950,63,2.537.516,622,41,3.172.137,778,52,13.426.440,3.294,220
miércoles,6,3-jun,23,5.036.821,1.236,4.047.445,993,3.327.899,817,4.317.275,1.060,16.729.440,4.106,,,,,,,,,,,6,3-jun,4%,4%,4%,4%,,miércoles,6,3-jun,23,3.628.318,890,59,3.654.844,897,60,2.394.927,587,39,2.993.887,734,49,12.671.976,3.108,207
jueves,6,4-jun,23,3.914.461,961,3.145.549,772,2.586.340,635,3.355.252,823,13.001.601,3.191,,,,,,,,,,,6,4-jun,3%,3%,3%,3%,,jueves,6,4-jun,23,2.819.816,692,46,2.840.431,697,46,1.861.263,457,30,2.326.756,571,38,9.848.266,2.416,161
viernes,6,5-jun,23,5.243.813,1.287,4.213.779,1.034,3.464.662,850,4.494.697,1.103,17.416.951,4.274,,,,,,,,,,,6,5-jun,4%,4%,4%,4%,,viernes,6,5-jun,23,3.777.427,927,62,3.805.043,933,62,2.493.348,612,41,3.116.924,765,51,13.192.742,3.236,216
sábado,6,6-jun,23,3.873.062,951,3.112.282,764,2.558.987,628,3.319.767,815,12.864.099,3.157,,,,,,,,,,,6,6-jun,3%,3%,3%,3%,,sábado,6,6-jun,23,2.789.994,684,46,2.810.391,689,46,1.841.578,452,30,2.302.149,565,38,9.744.113,2.390,159
domingo,6,7-jun,24,3.114.089,764,2.502.393,614,2.057.523,505,2.669.219,655,10.343.225,2.538,,,,,,,,,,,6,7-jun,2%,2%,2%,2%,,domingo,6,7-jun,24,2.243.261,550,37,2.259.661,554,37,1.480.699,363,24,1.851.015,454,30,7.834.637,1.922,128
lunes,6,8-jun,24,5.519.803,1.355,4.435.556,1.089,3.647.013,895,4.731.260,1.161,18.333.633,4.499,,,,,,,,,,,6,8-jun,4%,4%,4%,4%,,lunes,6,8-jun,24,3.976.239,975,65,4.005.308,983,66,2.624.577,644,43,3.280.972,805,54,13.887.097,3.407,227
martes,6,9-jun,24,5.496.804,1.349,4.417.075,1.084,3.631.817,891,4.711.546,1.156,18.257.243,4.481,,,,,,,,,,,6,9-jun,4%,4%,4%,4%,,martes,6,9-jun,24,3.959.671,971,65,3.988.620,978,65,2.613.641,641,43,3.267.301,801,53,13.829.234,3.392,226
miércoles,6,10-jun,24,5.187.925,1.273,4.168.868,1.023,3.427.736,841,4.446.793,1.091,17.231.323,4.229,,,,,,,,,,,6,10-jun,4%,4%,4%,4%,,miércoles,6,10-jun,24,3.737.167,917,61,3.764.489,923,62,2.466.774,605,40,3.083.704,756,50,13.052.135,3.202,213
jueves,6,11-jun,24,4.031.894,989,3.239.915,795,2.663.930,654,3.455.909,848,13.391.649,3.287,,,,,,,,,,,6,11-jun,3%,3%,3%,3%,,jueves,6,11-jun,24,2.904.411,712,47,2.925.644,718,48,1.917.100,470,31,2.396.559,588,39,10.143.714,2.488,166
viernes,6,12-jun,24,5.401.128,1.326,4.340.192,1.065,3.568.602,876,4.629.538,1.136,17.939.460,4.403,,,,,,,,,,,6,12-jun,4%,4%,4%,4%,,viernes,6,12-jun,24,3.890.750,954,64,3.919.194,961,64,2.568.149,630,42,3.210.431,788,53,13.588.524,3.333,222
sábado,6,13-jun,24,3.989.254,979,3.205.650,787,2.635.757,647,3.419.361,839,13.250.022,3.252,,,,,,,,,,,6,13-jun,3%,3%,3%,3%,,sábado,6,13-jun,24,2.873.694,705,47,2.894.703,710,47,1.896.826,465,31,2.371.213,582,39,10.036.436,2.462,164
domingo,6,14-jun,25,3.207.512,787,2.577.465,633,2.119.249,520,2.749.296,675,10.653.521,2.615,,,,,,,,,,,6,14-jun,2%,2%,2%,2%,,domingo,6,14-jun,25,2.310.559,567,38,2.327.451,571,38,1.525.120,374,25,1.906.546,468,31,8.069.676,1.980,132
lunes,6,15-jun,25,5.697.202,1.395,4.578.108,1.121,3.764.223,922,4.883.316,1.196,18.922.848,4.634,,,,,,,,,,,6,15-jun,4%,4%,4%,4%,,lunes,6,15-jun,25,4.104.029,1.007,67,4.134.033,1.014,68,2.708.927,665,44,3.386.418,831,55,14.333.407,3.516,234
martes,6,16-jun,25,4.777.056,1.170,3.838.706,940,3.156.269,773,4.094.620,1.003,15.866.651,3.886,,,,,,,,,,,6,16-jun,3%,3%,3%,3%,,martes,6,16-jun,25,3.441.194,844,56,3.466.352,850,57,2.271.413,557,37,2.839.483,697,46,12.018.442,2.948,197
miércoles,6,17-jun,25,4.508.622,1.104,3.622.999,887,2.978.911,730,3.864.533,946,14.975.064,3.668,,,,,,,,,,,6,17-jun,3%,3%,3%,3%,,miércoles,6,17-jun,25,3.247.825,797,53,3.271.569,803,54,2.143.777,526,35,2.679.925,657,44,11.343.096,2.783,186
jueves,6,18-jun,25,4.161.473,1.019,3.344.041,819,2.749.545,673,3.566.977,874,13.822.037,3.385,,,,,,,,,,,6,18-jun,3%,3%,3%,3%,,jueves,6,18-jun,25,2.997.754,735,49,3.019.670,741,49,1.978.713,485,32,2.473.581,607,40,10.469.718,2.568,171
viernes,6,19-jun,25,5.574.712,1.365,4.479.679,1.097,3.683.292,902,4.778.324,1.170,18.516.007,4.535,,,,,,,,,,,6,19-jun,4%,4%,4%,4%,,viernes,6,19-jun,25,4.015.793,985,66,4.045.151,992,66,2.650.685,650,43,3.313.610,813,54,14.025.239,3.440,229
sábado,6,20-jun,25,3.466.904,849,2.785.905,682,2.290.633,561,2.971.632,728,11.515.072,2.820,,,,,,,,,,,6,20-jun,2%,2%,2%,2%,,sábado,6,20-jun,25,2.497.414,613,41,2.515.673,617,41,1.648.456,404,27,2.060.728,506,34,8.722.271,2.140,143
domingo,6,21-jun,26,3.310.596,811,2.660.301,652,2.187.358,536,2.837.654,695,10.995.909,2.693,,,,,,,,,,,6,21-jun,2%,2%,2%,2%,,domingo,6,21-jun,26,2.384.817,585,39,2.402.252,589,39,1.574.135,386,26,1.967.819,483,32,8.329.023,2.043,136
lunes,6,22-jun,26,5.855.959,1.437,4.705.682,1.155,3.869.116,950,5.019.394,1.232,19.450.151,4.773,,,,,,,,,,,6,22-jun,4%,4%,4%,4%,,lunes,6,22-jun,26,4.218.392,1.035,69,4.249.232,1.042,69,2.784.414,683,46,3.480.783,854,57,14.732.821,3.614,241
martes,6,23-jun,26,5.831.560,1.431,4.686.075,1.150,3.852.995,946,4.998.480,1.227,19.369.109,4.753,,,,,,,,,,,6,23-jun,4%,4%,4%,4%,,martes,6,23-jun,26,4.200.815,1.030,69,4.231.527,1.038,69,2.772.812,680,45,3.466.280,850,57,14.671.434,3.599,240
miércoles,6,24-jun,26,5.503.870,1.351,4.422.753,1.085,3.636.485,892,4.717.603,1.158,18.280.711,4.486,,,,,,,,,,,6,24-jun,4%,4%,4%,4%,,miércoles,6,24-jun,26,3.964.761,973,65,3.993.747,980,65,2.617.001,642,43,3.271.501,803,54,13.847.010,3.397,226
jueves,6,25-jun,26,4.277.437,1.050,3.437.226,844,2.826.164,694,3.666.374,900,14.207.201,3.487,,,,,,,,,,,6,25-jun,3%,3%,3%,3%,,jueves,6,25-jun,26,3.081.289,756,50,3.103.816,761,51,2.033.852,499,33,2.542.509,624,42,10.761.466,2.640,176
viernes,6,26-jun,26,5.730.056,1.406,4.604.510,1.130,3.785.930,929,4.911.477,1.205,19.031.973,4.671,,,,,,,,,,,6,26-jun,4%,4%,4%,4%,,viernes,6,26-jun,26,4.127.696,1.013,68,4.157.873,1.020,68,2.724.549,668,45,3.405.947,835,56,14.416.065,3.536,236
sábado,6,27-jun,26,4.232.199,1.039,3.400.875,835,2.796.275,686,3.627.600,890,14.056.948,3.450,,,,,,,,,,,6,27-jun,3%,3%,3%,3%,,sábado,6,27-jun,26,3.048.702,748,50,3.070.991,753,50,2.012.342,494,33,2.515.620,617,41,10.647.655,2.612,174
domingo,6,28-jun,27,3.402.849,835,2.734.432,671,2.248.311,552,2.916.728,716,11.302.321,2.774,,,,,,,,,,,6,28-jun,2%,2%,2%,2%,,domingo,6,28-jun,27,2.451.272,601,40,2.469.193,606,40,1.618.000,397,26,2.022.654,496,33,8.561.119,2.100,140
lunes,6,29-jun,27,6.031.638,1.480,4.846.852,1.189,3.985.190,978,5.169.976,1.269,20.033.656,4.917,,,,,,,,,,,6,29-jun,4%,4%,4%,4%,,lunes,6,29-jun,27,4.344.944,1.066,71,4.376.709,1.074,72,2.867.946,704,47,3.585.207,879,59,15.174.805,3.722,248
martes,6,30-jun,27,6.006.506,1.474,4.826.657,1.185,3.968.585,974,5.148.434,1.264,19.950.182,4.896,,,,,,,,,,,6,30-jun,4%,4%,4%,4%,,martes,6,30-jun,27,4.326.840,1.061,71,4.358.472,1.069,71,2.855.997,701,47,3.570.269,876,58,15.111.577,3.707,247
miércoles,7,1-jul,27,6.318.914,1.526,5.077.698,1.227,4.174.996,1.008,5.416.212,1.308,20.987.820,5.070,,,,,,,,,,,7,1-jul,3%,3%,3%,3%,,miércoles,7,1-jul,27,4.567.967,1.103,74,4.601.363,1.111,74,3.015.156,728,49,3.769.234,910,61,15.953.720,3.854,257
jueves,7,2-jul,27,4.910.863,1.186,3.946.230,953,3.244.678,784,4.209.312,1.017,16.311.082,3.940,,,,,,,,,,,7,2-jul,3%,3%,3%,3%,,jueves,7,2-jul,27,3.550.082,858,57,3.576.036,864,58,2.343.286,566,38,2.929.331,708,47,12.398.736,2.995,200
viernes,7,3-jul,27,6.578.595,1.589,5.286.371,1.277,4.346.572,1.050,5.638.796,1.362,21.850.333,5.278,,,,,,,,,,,7,3-jul,4%,4%,4%,4%,,viernes,7,3-jul,27,4.755.692,1.149,77,4.790.460,1.157,77,3.139.067,758,51,3.924.134,948,63,16.609.352,4.012,267
sábado,7,4-jul,27,4.858.927,1.174,3.904.495,943,3.210.363,775,4.164.795,1.006,16.138.579,3.898,,,,,,,,,,,7,4-jul,3%,3%,3%,3%,,sábado,7,4-jul,27,3.512.537,848,57,3.538.217,855,57,2.318.504,560,37,2.898.351,700,47,12.267.609,2.963,198
domingo,7,5-jul,28,3.906.762,944,3.139.362,758,2.581.254,624,3.348.653,809,12.976.031,3.134,,,,,,,,,,,7,5-jul,2%,2%,2%,2%,,domingo,7,5-jul,28,2.824.213,682,45,2.844.861,687,46,1.864.165,450,30,2.330.385,563,38,9.863.624,2.383,159
lunes,7,6-jul,28,6.924.837,1.673,5.564.601,1.344,4.575.339,1.105,5.935.574,1.434,23.000.351,5.556,,,,,,,,,,,7,6-jul,4%,4%,4%,4%,,lunes,7,6-jul,28,5.005.991,1.209,81,5.042.589,1.218,81,3.304.281,798,53,4.130.667,998,67,17.483.528,4.223,282
martes,7,7-jul,28,6.895.983,1.666,5.541.415,1.339,4.556.275,1.101,5.910.843,1.428,22.904.516,5.533,,,,,,,,,,,7,7-jul,4%,4%,4%,4%,,martes,7,7-jul,28,4.985.133,1.204,80,5.021.578,1.213,81,3.290.513,795,53,4.113.456,994,66,17.410.680,4.206,280
miércoles,7,8-jul,28,5.480.141,1.324,4.403.685,1.064,3.620.807,875,4.697.264,1.135,18.201.897,4.397,,,,,,,,,,,7,8-jul,3%,3%,3%,3%,,miércoles,7,8-jul,28,3.961.615,957,64,3.990.578,964,64,2.614.925,632,42,3.268.906,790,53,13.836.023,3.342,223
jueves,7,9-jul,28,4.258.995,1.029,3.422.407,827,2.813.979,680,3.650.568,882,14.145.949,3.417,,,,,,,,,,,7,9-jul,2%,2%,2%,2%,,jueves,7,9-jul,28,3.078.844,744,50,3.101.353,749,50,2.032.238,491,33,2.540.492,614,41,10.752.927,2.597,173
viernes,7,10-jul,28,5.705.352,1.378,4.584.658,1.107,3.769.608,911,4.890.302,1.181,18.949.920,4.577,,,,,,,,,,,7,10-jul,3%,3%,3%,3%,,viernes,7,10-jul,28,4.124.421,996,66,4.154.574,1.004,67,2.722.387,658,44,3.403.244,822,55,14.404.627,3.479,232
sábado,7,11-jul,28,5.004.695,1.209,4.021.630,971,3.306.673,799,4.289.739,1.036,16.622.737,4.015,,,,,,,,,,,7,11-jul,3%,3%,3%,3%,,sábado,7,11-jul,28,3.617.913,874,58,3.644.363,880,59,2.388.059,577,38,2.985.302,721,48,12.635.637,3.052,203
domingo,7,12-jul,29,4.023.965,972,3.233.543,781,2.658.691,642,3.449.113,833,13.365.312,3.228,,,,,,,,,,,7,12-jul,2%,2%,2%,2%,,domingo,7,12-jul,29,2.908.940,703,47,2.930.207,708,47,1.920.090,464,31,2.400.296,580,39,10.159.533,2.454,164
lunes,7,13-jul,29,7.132.582,1.723,5.731.539,1.384,4.712.599,1.138,6.113.642,1.477,23.690.361,5.722,,,,,,,,,,,7,13-jul,4%,4%,4%,4%,,lunes,7,13-jul,29,5.156.171,1.245,83,5.193.867,1.255,84,3.403.409,822,55,4.254.587,1.028,69,18.008.034,4.350,290
martes,7,14-jul,29,7.102.863,1.716,5.707.658,1.379,4.692.963,1.134,6.088.168,1.471,23.591.651,5.699,,,,,,,,,,,7,14-jul,4%,4%,4%,4%,,martes,7,14-jul,29,5.134.687,1.240,83,5.172.226,1.249,83,3.389.229,819,55,4.236.859,1.023,68,17.933.001,4.332,289
miércoles,7,15-jul,29,6.703.735,1.619,5.386.930,1.301,4.429.254,1.070,5.746.059,1.388,22.265.978,5.378,,,,,,,,,,,7,15-jul,4%,4%,4%,4%,,miércoles,7,15-jul,29,4.846.156,1.171,78,4.881.586,1.179,79,3.198.779,773,52,3.998.780,966,64,16.925.301,4.088,273
jueves,7,16-jul,29,5.209.935,1.258,4.186.555,1.011,3.442.278,831,4.465.659,1.079,17.304.427,4.180,,,,,,,,,,,7,16-jul,3%,3%,3%,3%,,jueves,7,16-jul,29,3.766.282,910,61,3.793.817,916,61,2.485.992,600,40,3.107.728,751,50,13.153.818,3.177,212
viernes,7,17-jul,29,6.979.231,1.686,5.608.311,1.355,4.611.278,1.114,5.982.198,1.445,23.181.019,5.599,,,,,,,,,,,7,17-jul,4%,4%,4%,4%,,viernes,7,17-jul,29,5.045.313,1.219,81,5.082.199,1.228,82,3.330.236,804,54,4.163.113,1.006,67,17.620.861,4.256,284
sábado,7,18-jul,29,5.154.836,1.245,4.142.279,1.001,3.405.874,823,4.418.431,1.067,17.121.419,4.136,,,,,,,,,,,7,18-jul,3%,3%,3%,3%,,sábado,7,18-jul,29,3.726.451,900,60,3.753.694,907,60,2.459.701,594,40,3.074.861,743,50,13.014.706,3.144,210
domingo,7,19-jul,30,4.144.684,1.001,3.330.550,804,2.738.452,661,3.552.586,858,13.766.272,3.325,,,,,,,,,,,7,19-jul,2%,2%,2%,2%,,domingo,7,19-jul,30,2.996.208,724,48,3.018.113,729,49,1.977.693,478,32,2.472.305,597,40,10.464.319,2.528,169
lunes,7,20-jul,30,7.346.559,1.775,5.903.485,1.426,4.853.977,1.172,6.297.051,1.521,24.401.072,5.894,,,,,,,,,,,7,20-jul,4%,4%,4%,4%,,lunes,7,20-jul,30,5.310.856,1.283,86,5.349.683,1.292,86,3.505.512,847,56,4.382.225,1.059,71,18.548.275,4.480,299
martes,7,21-jul,30,7.315.949,1.767,5.878.887,1.420,4.833.752,1.168,6.270.813,1.515,24.299.401,5.870,,,,,,,,,,,7,21-jul,4%,4%,4%,4%,,martes,7,21-jul,30,5.288.728,1.277,85,5.327.393,1.287,86,3.490.905,843,56,4.363.965,1.054,70,18.470.991,4.462,297
miércoles,7,22-jul,30,6.904.847,1.668,5.548.538,1.340,4.562.131,1.102,5.918.441,1.430,22.933.958,5.540,,,,,,,,,,,7,22-jul,4%,4%,4%,4%,,miércoles,7,22-jul,30,4.991.541,1.206,80,5.028.033,1.215,81,3.294.743,796,53,4.118.743,995,66,17.433.060,4.211,281
jueves,7,23-jul,30,5.366.233,1.296,4.312.152,1.042,3.545.547,856,4.599.628,1.111,17.823.560,4.305,,,,,,,,,,,7,23-jul,3%,3%,3%,3%,,jueves,7,23-jul,30,3.879.271,937,62,3.907.631,944,63,2.560.572,619,41,3.200.959,773,52,13.548.433,3.273,218
viernes,7,24-jul,30,7.188.608,1.736,5.776.560,1.395,4.749.616,1.147,6.161.664,1.488,23.876.449,5.767,,,,,,,,,,,7,24-jul,4%,4%,4%,4%,,viernes,7,24-jul,30,5.196.673,1.255,84,5.234.665,1.264,84,3.430.143,829,55,4.288.007,1.036,69,18.149.487,4.384,292
sábado,7,25-jul,30,5.309.481,1.283,4.266.547,1.031,3.508.050,847,4.550.984,1.099,17.635.062,4.260,,,,,,,,,,,7,25-jul,3%,3%,3%,3%,,sábado,7,25-jul,30,3.838.244,927,62,3.866.305,934,62,2.533.492,612,41,3.167.107,765,51,13.405.148,3.238,216
domingo,7,26-jul,31,4.269.024,1.031,3.430.466,829,2.820.605,681,3.659.164,884,14.179.260,3.425,,,,,,,,,,,7,26-jul,2%,2%,2%,2%,,domingo,7,26-jul,31,3.086.094,745,50,3.108.656,751,50,2.037.024,492,33,2.546.474,615,41,10.778.248,2.603,174
lunes,7,27-jul,31,7.566.956,1.828,6.080.590,1.469,4.999.596,1.208,6.485.962,1.567,25.133.104,6.071,,,,,,,,,,,7,27-jul,4%,4%,4%,4%,,lunes,7,27-jul,31,5.470.182,1.321,88,5.510.173,1.331,89,3.610.677,872,58,4.513.691,1.090,73,19.104.723,4.615,308
