,,,,886.551.363,217.974,712.407.345,175.157,585.757.150,144.018,759.901.168,186.835,2.944.617.026,723.984,,,,,,,,,,,,,,,,,,,,,,637.289.168,156.657,10.443,642.104.085,157.848,10.526,417.226.276,102.530,6.838,519.000.534,127.528,8.501,2.215.620.052,544.554,36.305
Dia,Mes,Fecha,Semana,Scala NMV,Scala NSI,Vilo NMV,Vilo NSI,VUrq NMV,VUrq NSI,Caballito NMV,Caballito NSI,Total NMV,Total NSI,,,Mes,,,,,,,,Mes,Fecha,Scala NMV,Vilo NMV,VUrq NMV,Caballito NMV,,Dia,Mes,Fecha,Semana,Scala NMV,Scala NSI,Scala Purchases,Vilo NMV,Vilo NSI,Vilo Purchases,VUrq NMV,VUrq NSI,VUrq Purchases,Caballito NMV,Caballito NSI,Caballito Purchases,Total NMV,Total NSI,Total Purchases
miércoles,3,11-mar,11,3.573.594,920,2.871.638,739,2.361.125,608,3.063.080,788,11.869.437,3.055,,,,,,,,,,,3,11-mar,4%,4%,4%,4%,,miércoles,3,11-mar,11,3.236.762,825,55,3.265.984,832,55,2.014.245,513,34,2.426.236,618,41,10.943.227,2.789,186
jueves,3,12-mar,11,2.777.286,715,2.231.748,574,1.834.993,472,2.380.531,613,9.224.558,2.374,,Tienda,10,11,12,1,2,3,4,,3,12-mar,3%,3%,3%,3%,,jueves,3,12-mar,11,2.515.511,641,43,2.538.221,647,43,1.565.409,399,27,1.885.595,481,32,8.504.736,2.167,144
viernes,3,13-mar,11,3.720.454,958,2.989.650,769,2.458.157,633,3.188.960,821,12.357.222,3.181,,Caballito,,,34.055.079,44.895.424,57.731.083,68.009.031,23.729.623,194.365.161,3,13-mar,4%,4%,4%,4%,,viernes,3,13-mar,11,3.369.780,859,57,3.400.203,867,58,2.097.022,534,36,2.525.944,644,43,11.392.949,2.903,194
sábado,3,14-mar,11,2.747.914,707,2.208.145,568,1.815.586,467,2.355.355,606,9.127.001,2.349,,Scalabrini,10.451.118,34.150.904,56.456.356,50.747.817,69.074.828,90.728.633,25.001.557,235.552.835,3,14-mar,3%,3%,3%,3%,,sábado,3,14-mar,11,2.488.908,634,42,2.511.378,640,43,1.548.853,395,26,1.865.654,475,32,8.414.792,2.144,143
domingo,3,15-mar,12,2.209.427,569,1.775.433,457,1.459.800,376,1.893.795,487,7.338.455,1.889,,Vicente Lopez,,22.656.087,51.330.633,46.035.027,69.560.421,91.547.742,30.131.728,237.274.918,3,15-mar,2%,2%,2%,2%,,domingo,3,15-mar,12,2.001.176,510,34,2.019.243,515,34,1.245.337,317,21,1.500.056,382,25,6.765.813,1.724,115
lunes,3,16-mar,12,3.916.267,1.008,3.147.000,810,2.587.534,666,3.356.800,864,13.007.602,3.348,,Villa Urquiza,,,28.392.332,33.761.265,45.809.648,56.460.652,19.448.679,155.480.243,3,16-mar,4%,4%,4%,4%,,lunes,3,16-mar,12,3.547.137,904,60,3.579.161,912,61,2.207.392,563,38,2.658.889,678,45,11.992.578,3.056,204
martes,3,17-mar,12,3.899.949,1.004,3.133.888,807,2.576.752,663,3.342.814,860,12.953.404,3.334,,TOTAL,10.451.118,56.806.992,170.234.400,175.439.531,242.175.980,306.746.058,98.311.588,822.673.157,3,17-mar,4%,4%,4%,4%,,martes,3,17-mar,12,3.532.357,900,60,3.564.248,908,61,2.198.194,560,37,2.647.810,675,45,11.942.609,3.043,203
miércoles,3,18-mar,12,3.573.594,920,2.871.638,739,2.361.125,608,3.063.080,788,11.869.437,3.055,,Caballito,0%,0%,20%,26%,24%,22%,24%,24%,3,18-mar,4%,4%,4%,4%,,miércoles,3,18-mar,12,3.236.762,825,55,3.265.984,832,55,2.014.245,513,34,2.426.236,618,41,10.943.227,2.789,186
jueves,3,19-mar,12,2.777.286,715,2.231.748,574,1.834.993,472,2.380.531,613,9.224.558,2.374,,Scalabrini,100%,60%,33%,29%,29%,30%,25%,29%,3,19-mar,3%,3%,3%,3%,,jueves,3,19-mar,12,2.515.511,641,43,2.538.221,647,43,1.565.409,399,27,1.885.595,481,32,8.504.736,2.167,144
viernes,3,20-mar,12,3.720.454,958,2.989.650,769,2.458.157,633,3.188.960,821,12.357.222,3.181,,Vicente Lopez,0%,40%,30%,26%,29%,30%,31%,29%,3,20-mar,4%,4%,4%,4%,,viernes,3,20-mar,12,3.369.780,859,57,3.400.203,867,58,2.097.022,534,36,2.525.944,644,43,11.392.949,2.903,194
